SKU,Name,Category,Схема,Brand,Niche,Seller,Balance,Balance FBS,Warehouses count,Comments,Final price,Max price,Min price,Average price,Median price,Цена с Ozon картой,Sales,Revenue,Revenue potential,Revenue average,Lost profit,Lost profit percent,URL,Thumb,Pics Count,Has Video,First Date,Days in website,Days in stock,Days with sales,Average if in stock,Rating,FBS,Base price,Category Position,Categories Last Count,Sales Per Day Average,Turnover,Frozen stocks,Frozen stocks cost,Frozen stocks percent
546542808,АГТ Геоцентр Географическая карта,Канцелярские товары/Бумажная продукция/Карты мира,FBS,АГТ Геоцентр,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",ГЕО-ТРЕЙД оптовые продажи,0,100,1,0,761,785,754,0,"761,5",707,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/546542808/,https://cdn1.ozone.ru/s3/multimedia-o/6287902896.jpg,4,0,44657,1082,0,0,0,0,1,1200,1263,1,0,0,0,0,0
289295538,"Атлас Принт Географическая карта, масштаб: 1:20 000 000",Канцелярские товары/Бумажная продукция/Карты мира,FBS,Атлас Принт,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Уруру,0,17,1,0,3784,3784,3717,0,3717,3784,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/289295538/,https://cdn1.ozone.ru/s3/multimedia-7/6086192575.jpg,1,0,44393,1346,0,0,0,0,1,4919,4356,1,0,0,0,0,0
1708741488,настенная карта Республики Северная Осетия - Алания 98 х 105 см (на самоклеющейся пленке),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Большие настенные карты,0,100,1,0,1432,1483,1422,0,"1433,5",1329,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1708741488/,https://cdn1.ozone.ru/s3/multimedia-e/6445942202.jpg,6,0,45565,174,0,0,0,0,1,1910,2699,1,0,0,0,0,0
646862958,"Настенная физическая карта мира Globen (масштаб 1:29 млн) 1010x660мм, интерактивная (КН023)",Канцелярские товары/Бумажная продукция/Карты мира,FBS,Globen,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Shop-Profit,0,212,1,5,844,844,784,0,813,782,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/646862958/,https://cdn1.ozone.ru/s3/multimedia-y/6292449166.jpg,6,0,44764,975,0,0,0,0,1,1212,2075,1,0,0,0,0,0
945075618,"Атлас Принт Географическая карта 70 x 100 см, масштаб: 1:8 000 000",,FBS,Атлас Принт,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Соулмейт,0,0,0,0,640,640,640,0,640,640,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/945075618/,https://cdn1.ozone.ru/s3/multimedia-w/6099997592.jpg,2,0,45038,701,0,0,0,0,0,955,0,0,0,0,0,0,0
578886768,"Карта настенная ""Мир. Политическая карта с флагами"", М-1:30 млн., размер 122х79 см, ламинированная, 638, 377",Канцелярские товары/Бумажная продукция/Карты мира,FBS,DMB,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Oasis-market,0,202,1,0,944,1139,944,0,984,874,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/578886768/,https://cdn1.ozone.ru/s3/multimedia-d/6116715325.jpg,4,0,44688,1051,0,0,0,0,1,2006,4498,1,0,0,0,0,0
1138714608,"Настенная карта Республика Карелия - муниципальное устройство, глянцевая ламинация",Канцелярские товары/Бумажная продукция/Карты мира,FBS,Фабрика настенных карт,Канцелярские товары/Бумажная продукция/Карты мира,Пушкин Медиа,0,91,1,3,933,1265,933,0,1265,933,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1138714608/,https://cdn1.ozone.ru/s3/multimedia-1-8/6938328716.jpg,6,0,45157,582,0,0,0,4,1,1606,735,1,0,0,0,0,0
1192130778,АСТ Географическая карта,,FBS,АСТ,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",ALVA.store,0,0,0,1,3484,3484,3484,0,3484,3484,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1192130778/,https://cdn1.ozone.ru/s3/multimedia-9/6760775277.jpg,2,0,45185,554,0,0,0,0,0,5226,0,0,0,0,0,0,0
1646368398, Географическая карта 140 x 140 см,Канцелярские товары/Бумажная продукция/Карты мира,FBS,,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Аякс-Пресс,0,4,1,0,126,128,89,0,127,122,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1646368398/,https://cdn1.ozone.ru/s3/multimedia-1-i/7090791138.jpg,2,0,45507,232,0,0,0,0,1,200,1173,1,0,0,0,0,0
1279489518,"Карта мира настенная географическая, политическая, интерактивная, с ламинацией, 1:15,5 млн, 1990х1340 мм",Канцелярские товары/Бумажная продукция/Карты мира,FBS,Globen,Канцелярские товары/Бумажная продукция/Карты мира,Юмитой,0,16,1,5,1924,2064,1890,0,1967,1781,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1279489518/,https://cdn1.ozone.ru/s3/multimedia-2/6375606398.jpg,5,0,45261,478,0,0,0,5,1,3546,1491,1,0,0,0,0,0
